hid,smiles,CAS,compatible_with_gen_2
A001,CC1(C)OB(c2ccc(-n3c4ccccc4c4ccccc43)cc2)OC1(C)C,785051-54-9,True
A002,CC1(C)OB(c2ccc(N(c3ccccc3)c3ccccc3)cc2)OC1(C)C,267221-88-5,True
A003,COc1ccc(N(c2ccc(OC)cc2)c2ccc(B3OC(C)(C)C(C)(C)O3)cc2)cc1,875667-84-8,True
A004,CC(C)(C)OC(=O)N(c1ccccc1)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1,1218791-29-7,True
A005,OB(O)c1ccc(N(c2ccccc2)c2ccc(-c3ccccc3)cc2)cc1,1084334-86-0,False
A006,OB(O)c1ccc2c3ccccc3n(-c3ccc(-c4ccccc4)cc3)c2c1,1028648-22-7,False
A007,OB(O)c1ccc2c(c1)c1cc(-c3ccccc3)ccc1n2-c1ccccc1,1133058-06-6,False
A008,CC1(C)OB(c2ccc3c(c2)c2ccccc2n3-c2ccccc2)OC1(C)C,1126522-69-7,True
A009,OB(O)c1cccc(N(c2ccccc2)c2ccccc2)c1,943899-12-5,False
A010,OB(O)c1cccc(-n2c3ccccc3c3ccccc32)c1,864377-33-3,False
A011,OB(O)c1ccc2c3ccccc3n(-c3ccccc3)c2c1,1001911-63-2,False
A012,CCn1c2ccccc2c2cc(B(O)O)ccc21,669072-93-9,False
A013,OB(O)c1ccc(-n2c(-c3ccccc3)nc3ccccc32)cc1,867044-33-5,False
A014,CN(C)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1,171364-78-6,True
A015,CN(C)c1ccc(B2OC(C)(C)C(C)(C)O2)c2ccccc12,1007126-41-1,True
A016,Cn1cnc2ccc(B(O)O)cc21,1107627-21-3,False
A017,Cn1ccc2cc(B(O)O)ccc21,192182-55-1,False
A018,Cc1ccc(N(c2ccc(C)cc2)c2ccc(B3OC(C)(C)C(C)(C)O3)cc2)cc1,,True
A019,COc1ccc2c(c1)c1cc(OC)ccc1n2-c1ccc(B2OC(C)(C)C(C)(C)O2)cc1,,True
A020,CC1(C)OB(c2ccc(N3c4ccccc4Oc4ccccc43)cc2)OC1(C)C,,True
A021,CC1(C)OB(c2ccc(N3c4ccccc4Sc4ccccc43)cc2)OC1(C)C,,True
A022,CC1(C)OB(c2ccc(N3c4ccccc4Sc4ccc(C(F)(F)F)cc43)cc2)OC1(C)C,,True
A023,COc1ccc2c(c1)N(c1ccc(B3OC(C)(C)C(C)(C)O3)cc1)c1ccccc1S2,,True
A024,CC1(C)c2ccccc2N(c2ccc(B3OC(C)(C)C(C)(C)O3)cc2)c2ccccc21,,True
A025,CC1(C)OB(c2ccc(-n3c4ccccc4c(=O)c4ccccc43)cc2)OC1(C)C,,True
A026,COc1ccc2c3ccc(OC)cc3n(-c3ccc(B4OC(C)(C)C(C)(C)O4)cc3)c2c1,,True
A027,Cc1ccc2c(c1)c1cc(C)ccc1n2-c1ccc(B2OC(C)(C)C(C)(C)O2)cc1,,True
A028,CC1(C)OB(c2ccc(N3c4ccccc4CCc4ccccc43)cc2)OC1(C)C,,True
A029,COc1ccc2c3ccccc3n(-c3ccc(B4OC(C)(C)C(C)(C)O4)cc3)c2c1,,True
A030,COC(=O)c1ccccc1N(c1ccc(B2OC(C)(C)C(C)(C)O2)cc1)c1cccc(C(F)(F)F)c1,,True
A031,CC1(C)OB(c2ccc(-n3ccnc3)cc2)OC1(C)C,,True
A032,CC(C)(C)OC(=O)n1ccc2cc(B3OC(C)(C)C(C)(C)O3)ccc21,777061-36-6,True
A033,CC1(C)OB(c2ccc(N(c3ccccc3)c3ccc(-c4ccccc4)cc3)cc2)OC1(C)C,,True
A034,CC1(C)OB(c2ccc3c4ccccc4n(-c4ccc(-c5ccccc5)cc4)c3c2)OC1(C)C,,True
A035,CC1(C)OB(c2ccc3c(c2)c2cc(-c4ccccc4)ccc2n3-c2ccccc2)OC1(C)C,,True
A036,CC1(C)OB(c2cccc(N(c3ccccc3)c3ccccc3)c2)OC1(C)C,,True
A037,CC1(C)OB(c2cccc(-n3c4ccccc4c4ccccc43)c2)OC1(C)C,,True
A038,CC1(C)OB(c2ccc3c4ccccc4n(-c4ccccc4)c3c2)OC1(C)C,,True
A039,CCn1c2ccccc2c2cc(B3OC(C)(C)C(C)(C)O3)ccc21,,True
A040,CC1(C)OB(c2ccc(-n3c(-c4ccccc4)nc4ccccc43)cc2)OC1(C)C,,True
A041,Cn1cnc2ccc(B3OC(C)(C)C(C)(C)O3)cc21,,True
A042,Cn1ccc2cc(B3OC(C)(C)C(C)(C)O3)ccc21,837392-62-8,True
