molecule_id,hid,smiles,smiles_w_sub
78e9e8e0-3ce5-4a9a-bb85-412309d38e98,B031,Cc1cc([B-]23OC(=O)C(C)(C)[N+]2(C)C(C)(C)C(=O)O3)c(C)cc1Br,C=Cc1cc(C)c(C=C(F)F)cc1C
4d81acc5-8155-499f-9192-132d2e8a98e7,B032,Cc1c(Br)cccc1[B-]12OC(=O)C(C)(C)[N+]1(C)C(C)(C)C(=O)O2,C=Cc1cccc(C=C(F)F)c1C
69867dcd-c643-4311-a305-6b0360ed5de0,B033,CCOc1c(Br)cc(Cl)cc1[B-]12OC(=O)C(C)(C)[N+]1(C)C(C)(C)C(=O)O2,C=Cc1cc(Cl)cc(C=C(F)F)c1OCC
6f0cc8b3-8db4-482e-926b-3900d46e3060,B034,Cc1cc(Br)ccc1[B-]12OC(=O)C(C)(C)[N+]1(C)C(C)(C)C(=O)O2,C=Cc1ccc(C=C(F)F)c(C)c1
2752ae61-d7c1-4af8-b705-2ce86aa8569b,B035,COc1ccc(Br)c([B-]23OC(=O)C(C)(C)[N+]2(C)C(C)(C)C(=O)O3)c1,C=Cc1ccc(OC)cc1C=C(F)F
c7551291-a8de-41f2-b55e-21286fddad6f,B036,COc1ccc(Br)cc1[B-]12OC(=O)C(C)(C)[N+]1(C)C(C)(C)C(=O)O2,C=Cc1ccc(OC)c(C=C(F)F)c1
d0660207-48b2-42f1-ae25-04e7dffe3535,B041,CC1(C)C(=O)O[B-]2(c3ccnc(Br)c3)OC(=O)C(C)(C)[N+]21C,C=Cc1cc(C=C(F)F)ccn1
69de5fcb-b591-4a46-94c1-910a89a788e8,B043,Cc1cc(Br)cc([B-]23OC(=O)C(C)(C)[N+]2(C)C(C)(C)C(=O)O3)c1,C=Cc1cc(C)cc(C=C(F)F)c1
678680d0-c59b-465b-8f00-18cc39f7bcb7,B050,CCOC(=O)c1cc(Br)cc([B-]23OC(=O)C(C)(C)[N+]2(C)C(C)(C)C(=O)O3)c1,C=Cc1cc(C=C(F)F)cc(C(=O)OCC)c1
f336d089-00b7-4d11-8334-3e0a80b3fa4d,B051,CC1(C)C(=O)O[B-]2(c3c(Br)ccc(F)c3F)OC(=O)C(C)(C)[N+]21C,C=Cc1ccc(F)c(F)c1C=C(F)F
1e06a8bc-391a-4045-b62e-08f7023f0795,B052,CC1(C)C(=O)O[B-]2(c3cc(Br)c4ccccc4c3F)OC(=O)C(C)(C)[N+]21C,C=Cc1cc(C=C(F)F)c(F)c2ccccc12
409bfbcf-35a2-4490-a982-69f61da06dbe,B053,Cc1ccc(Br)c([B-]23OC(=O)C(C)(C)[N+]2(C)C(C)(C)C(=O)O3)c1F,C=Cc1ccc(C)c(F)c1C=C(F)F
6f337a25-92cd-4ea9-9e17-15a2e347200a,B054,Cc1cc(Br)cc([B-]23OC(=O)C(C)(C)[N+]2(C)C(C)(C)C(=O)O3)c1F,C=Cc1cc(C)c(F)c(C=C(F)F)c1
abdc36dc-0090-46bd-9e86-5c417c38717e,B055,CC1(C)C(=O)O[B-]2(c3cc(C(F)(F)F)ccc3Br)OC(=O)C(C)(C)[N+]21C,C=Cc1ccc(C(F)(F)F)cc1C=C(F)F
1841aff6-0ae4-4280-b9ef-da99d80882f8,B057,CC1(C)C(=O)O[B-]2(c3cscc3Br)OC(=O)C(C)(C)[N+]21C,C=Cc1cscc1C=C(F)F
